PCA_1,PCA_2,cluster,profile
-1.6217120314119613,1.3067000929736834,0,Conservador
-1.202836562245346,1.2830827475963242,0,Conservador
0.050118203527762216,-0.1080784127155616,2,Agresivo
0.5457341320115228,-1.0435808444955554,1,Moderado
0.21363950433893245,2.1201069586285834,0,Conservador
0.8875497014029594,-1.5331403141136568,1,Moderado
0.36979135502123683,-0.9900093536002155,2,Agresivo
1.4110170108988391,-0.40894316016770976,1,Moderado
-0.27927658977585684,-1.8067898363861115,2,Agresivo
0.5252308249766758,0.5083991219760466,1,Moderado
0.2895758898592708,0.3790171206345487,1,Moderado
-1.0924016253274365,-2.0034214020840566,2,Agresivo
0.31389652318650835,-0.1502896366672628,1,Moderado
1.3440824386874082,0.28930301239593637,1,Moderado
1.9590099770615665,0.39961461179409025,1,Moderado
-1.5439825240890275,-0.22974393755886163,0,Conservador
-0.2913589951667568,-0.6341885659472415,2,Agresivo
-0.640860130764702,-1.225126120503713,2,Agresivo
0.08984535868160928,-0.6589581139020816,1,Moderado
0.22237365755327324,0.3979916718007479,0,Conservador
-0.6460463904730979,2.6357767452793888,0,Conservador
0.8961872964563837,-1.1123381157788503,2,Agresivo
1.278417961164292,1.8580243890786559,1,Moderado
-0.13733035288001244,-0.781061932232412,1,Moderado
0.8986624207251052,-1.6307931853980262,2,Agresivo
-0.6972648394402259,0.9235691739592289,0,Conservador
0.25681445808477693,0.7066547567297602,1,Moderado
0.4841694508101287,0.309701920650997,1,Moderado
-0.4668329905329771,1.1692500538907142,0,Conservador
-1.5457511509237825,-0.43578301529595703,0,Conservador
2.267483906154009,0.3957995947310813,1,Moderado
0.09194228920230277,-0.8005662213762504,2,Agresivo
-0.2479358553554545,-0.23975650196787404,2,Agresivo
0.466853742624459,1.6483338062165722,1,Moderado
0.6274299035379362,0.47958918064822936,1,Moderado
0.21577145295036768,0.6037430903572193,1,Moderado
-0.1545134855597901,2.24232814282023,0,Conservador
-0.08601627928521659,-0.6193081780893389,2,Agresivo
1.723176550433365,-0.11615434349697892,1,Moderado
1.0588802534305322,-0.8090835903924488,2,Agresivo
-0.040859458593958925,-0.09544434399566837,1,Moderado
-0.9271105416140109,0.17356000568086777,0,Conservador
-0.17761188816860027,0.3137349598682009,2,Agresivo
0.9596721881873518,-0.7985206046748027,1,Moderado
0.1363455286864021,-1.0801889305940924,2,Agresivo
-1.4220741064373736,-0.5368451638560443,0,Conservador
1.1377615497148077,1.2517543759375807,1,Moderado
