date,AAPL,AMZN,GOOGL,MSFT,TSLA
2020-03-09,64.5938720703125,90.03050231933594,60.56993103027344,144.17025756835938,40.53333282470703
2020-03-10,69.24603271484375,94.59100341796875,63.52820587158203,154.0291748046875,43.02199935913086
2020-03-11,66.84110260009766,91.04299926757812,60.32630920410156,147.0513916015625,42.28200149536133
2020-03-12,60.240211486816406,83.83049774169922,55.37675476074219,133.1052703857422,37.369998931884766
2020-03-13,67.45748901367188,89.25,60.494205474853516,152.02870178222656,36.44133377075195
2020-03-16,58.77928924560547,84.4574966430664,53.45621871948242,129.62107849121094,29.67133331298828
2020-03-17,61.36381912231445,90.39199829101562,55.701080322265625,140.29364013671875,28.68000030517578
2020-03-18,59.86164093017578,91.5,54.36243438720703,134.3878936767578,24.08133316040039
2020-03-19,59.40296936035156,94.04650115966797,55.38273239135742,136.59898376464844,28.50933265686035
2020-03-20,55.631744384765625,92.30449676513672,53.21758270263672,131.46849060058594,28.50200080871582
2020-03-23,54.44989013671875,95.1415023803711,52.5161247253418,130.1571807861328,28.952667236328125
2020-03-24,59.912593841552734,97.00499725341797,56.29642105102539,141.98789978027344,33.66666793823242
2020-03-25,59.582557678222656,94.29199981689453,54.882049560546875,140.62869262695312,35.95000076293945
2020-03-26,62.717960357666016,97.77449798583984,57.935977935791016,149.42515563964844,35.21066665649414
2020-03-27,60.121307373046875,95.00499725341797,55.3124885559082,143.2896270751953,34.29066848754883
2020-03-30,61.837039947509766,98.19750213623047,57.10847854614258,153.36874389648438,33.47533416748047
2020-03-31,61.710853576660156,97.48600006103516,57.88765335083008,150.95668029785156,34.93333435058594
2020-04-01,58.463802337646484,95.38500213623047,54.90596008300781,145.59646606445312,32.104000091552734
2020-04-02,59.43938064575195,95.94149780273438,55.64976501464844,148.61155700683594,30.29800033569336
2020-04-03,58.58515167236328,95.32949829101562,54.43765640258789,147.2427978515625,32.000667572021484
2020-04-06,63.695980072021484,99.87950134277344,58.94581985473633,158.1929168701172,34.41600036621094
2020-04-07,62.95821762084961,100.58000183105469,58.9144287109375,156.4891815185547,36.36333465576172
2020-04-08,64.56959533691406,102.1500015258789,60.132015228271484,158.0588836669922,36.589332580566406
2020-04-09,65.03555297851562,102.13800048828125,60.110591888427734,158.0684814453125,38.20000076293945
2020-04-13,66.31202697753906,108.44349670410156,60.30189895629883,158.4226531982422,43.39666748046875
2020-04-14,69.66101837158203,114.16600036621094,63.03300476074219,166.26194763183594,47.32600021362305
2020-04-15,69.02518463134766,115.38400268554688,62.637935638427734,164.51988220214844,48.65533447265625
2020-04-16,69.57365417480469,120.40950012207031,62.6444091796875,169.45892333984375,49.680667877197266
2020-04-17,68.62962341308594,118.75,63.71901321411133,170.9521026611328,50.259334564208984
2020-04-20,67.2051010131836,119.68049621582031,62.82973861694336,167.56370544433594,49.75733184814453
2020-04-21,65.12777709960938,116.40599822998047,60.38908767700195,160.63372802734375,45.781333923339844
2020-04-22,67.003662109375,118.17449951171875,62.693233489990234,166.08966064453125,48.807334899902344
2020-04-23,66.7440185546875,119.97250366210938,63.32892608642578,164.07955932617188,47.04199981689453
2020-04-24,68.67089080810547,120.51100158691406,63.599449157714844,167.07554626464844,48.34333419799805
2020-04-27,68.71941375732422,118.80000305175781,63.313480377197266,166.5969696044922,53.25
2020-04-28,67.60553741455078,115.7040023803711,61.406898498535156,162.53848266601562,51.27466583251953
