date,GDP,CPIAUCSL,UNRATE,FEDFUNDS
1946-01-01,,,,
1946-04-01,,,,
1946-07-01,,,,
1946-10-01,,,,
1947-01-01,243.164,21.48,,
1947-02-01,,21.62,,
1947-03-01,,22.0,,
1947-04-01,245.968,22.0,,
1947-05-01,,21.95,,
1947-06-01,,22.08,,
1947-07-01,249.585,22.23,,
1947-08-01,,22.4,,
1947-09-01,,22.84,,
1947-10-01,259.745,22.91,,
1947-11-01,,23.06,,
1947-12-01,,23.41,,
1948-01-01,265.742,23.68,3.4,
1948-02-01,,23.67,3.8,
1948-03-01,,23.5,4.0,
1948-04-01,272.567,23.82,3.9,
1948-05-01,,24.01,3.5,
1948-06-01,,24.15,3.6,
1948-07-01,279.196,24.4,3.6,
1948-08-01,,24.43,3.9,
1948-09-01,,24.36,3.8,
1948-10-01,280.366,24.31,3.7,
1948-11-01,,24.16,3.8,
1948-12-01,,24.05,4.0,
1949-01-01,275.034,24.01,4.3,
1949-02-01,,23.91,4.7,
1949-03-01,,23.91,5.0,
1949-04-01,271.351,23.92,5.3,
1949-05-01,,23.91,6.1,
1949-06-01,,23.92,6.2,
1949-07-01,272.889,23.7,6.7,
1949-08-01,,23.7,6.8,
1949-09-01,,23.75,6.6,
1949-10-01,270.627,23.67,7.9,
1949-11-01,,23.7,6.4,
1949-12-01,,23.61,6.6,
1950-01-01,280.828,23.51,6.5,
1950-02-01,,23.61,6.4,
1950-03-01,,23.64,6.3,
1950-04-01,290.383,23.65,5.8,
1950-05-01,,23.77,5.5,
1950-06-01,,23.88,5.4,
1950-07-01,308.153,24.07,5.0,
1950-08-01,,24.2,4.5,
1950-09-01,,24.34,4.4,
1950-10-01,319.945,24.5,4.2,
1950-11-01,,24.6,4.2,
1950-12-01,,24.98,4.3,
1951-01-01,336.0,25.38,3.7,
1951-02-01,,25.83,3.4,
1951-03-01,,25.88,3.4,
1951-04-01,344.09,25.92,3.1,
1951-05-01,,25.99,3.0,
1951-06-01,,25.93,3.2,
1951-07-01,351.385,25.91,3.1,
1951-08-01,,25.86,3.1,
1951-09-01,,26.03,3.3,
1951-10-01,356.178,26.16,3.5,
1951-11-01,,26.32,3.5,
1951-12-01,,26.47,3.1,
1952-01-01,359.82,26.45,3.2,
1952-02-01,,26.41,3.1,
1952-03-01,,26.39,2.9,
1952-04-01,361.03,26.46,2.9,
1952-05-01,,26.47,3.0,
1952-06-01,,26.53,3.0,
1952-07-01,367.701,26.68,3.2,
1952-08-01,,26.69,3.4,
1952-09-01,,26.63,3.1,
1952-10-01,380.812,26.69,3.0,
1952-11-01,,26.69,2.8,
1952-12-01,,26.71,2.7,
1953-01-01,387.98,26.64,2.9,
1953-02-01,,26.59,2.6,
1953-03-01,,26.63,2.6,
1953-04-01,391.749,26.69,2.7,
1953-05-01,,26.7,2.5,
1953-06-01,,26.77,2.5,
1953-07-01,391.171,26.79,2.6,
1953-08-01,,26.85,2.7,
1953-09-01,,26.89,2.9,
1953-10-01,385.97,26.95,3.1,
1953-11-01,,26.85,3.5,
1953-12-01,,26.87,4.5,
1954-01-01,385.345,26.94,4.9,
1954-02-01,,26.99,5.2,
1954-03-01,,26.93,5.7,
1954-04-01,386.121,26.86,5.9,
1954-05-01,,26.93,5.9,
1954-06-01,,26.94,5.6,
1954-07-01,390.996,26.86,5.8,0.8
1954-08-01,,26.85,6.0,1.22
1954-09-01,,26.81,6.1,1.07
1954-10-01,399.734,26.72,5.7,0.85
1954-11-01,,26.78,5.3,0.83
1954-12-01,,26.77,5.0,1.28
1955-01-01,413.073,26.77,4.9,1.39
1955-02-01,,26.82,4.7,1.29
1955-03-01,,26.79,4.6,1.35
1955-04-01,421.532,26.79,4.7,1.43
1955-05-01,,26.77,4.3,1.43
1955-06-01,,26.71,4.2,1.64
1955-07-01,430.221,26.76,4.0,1.68
1955-08-01,,26.72,4.2,1.96
1955-09-01,,26.85,4.1,2.18
1955-10-01,437.092,26.82,4.3,2.24
1955-11-01,,26.88,4.2,2.35
1955-12-01,,26.87,4.2,2.48
1956-01-01,439.746,26.83,4.0,2.45
1956-02-01,,26.86,3.9,2.5
1956-03-01,,26.89,4.2,2.5
1956-04-01,446.01,26.93,4.0,2.62
1956-05-01,,27.03,4.3,2.75
1956-06-01,,27.15,4.3,2.71
1956-07-01,451.191,27.29,4.4,2.75
1956-08-01,,27.31,4.1,2.73
1956-09-01,,27.35,3.9,2.95
1956-10-01,460.463,27.51,3.9,2.96
1956-11-01,,27.51,4.3,2.88
1956-12-01,,27.63,4.2,2.94
1957-01-01,469.779,27.67,4.2,2.84
1957-02-01,,27.8,3.9,3.0
1957-03-01,,27.86,3.7,2.96
1957-04-01,472.025,27.93,3.9,3.0
1957-05-01,,28.0,4.1,3.0
1957-06-01,,28.11,4.3,3.0
1957-07-01,479.49,28.19,4.2,2.99
1957-08-01,,28.28,4.1,3.24
1957-09-01,,28.32,4.4,3.47
1957-10-01,474.864,28.32,4.5,3.5
1957-11-01,,28.41,5.1,3.28
1957-12-01,,28.47,5.2,2.98
1958-01-01,467.54,28.64,5.8,2.72
1958-02-01,,28.7,6.4,1.67
1958-03-01,,28.87,6.7,1.2
1958-04-01,471.978,28.94,7.4,1.26
1958-05-01,,28.94,7.4,0.63
1958-06-01,,28.91,7.3,0.93
1958-07-01,485.841,28.89,7.5,0.68
1958-08-01,,28.94,7.4,1.53
1958-09-01,,28.91,7.1,1.76
1958-10-01,499.555,28.91,6.7,1.8
1958-11-01,,28.95,6.2,2.27
1958-12-01,,28.97,6.2,2.42
1959-01-01,510.33,29.01,6.0,2.48
1959-02-01,,29.0,5.9,2.43
1959-03-01,,28.97,5.6,2.8
1959-04-01,522.653,28.98,5.2,2.96
1959-05-01,,29.04,5.1,2.9
1959-06-01,,29.11,5.0,3.39
1959-07-01,525.034,29.15,5.1,3.47
1959-08-01,,29.18,5.2,3.5
1959-09-01,,29.25,5.5,3.76
1959-10-01,528.6,29.35,5.7,3.98
1959-11-01,,29.35,5.8,4.0
1959-12-01,,29.41,5.3,3.99
1960-01-01,542.648,29.37,5.2,3.99
1960-02-01,,29.41,4.8,3.97
1960-03-01,,29.41,5.4,3.84
1960-04-01,541.08,29.54,5.2,3.92
1960-05-01,,29.57,5.1,3.85
1960-06-01,,29.61,5.4,3.32
1960-07-01,545.604,29.55,5.5,3.23
1960-08-01,,29.61,5.6,2.98
1960-09-01,,29.61,5.5,2.6
1960-10-01,540.197,29.75,6.1,2.47
1960-11-01,,29.78,6.1,2.44
1960-12-01,,29.81,6.6,1.98
1961-01-01,545.018,29.84,6.6,1.45
1961-02-01,,29.84,6.9,2.54
1961-03-01,,29.84,6.9,2.02
1961-04-01,555.545,29.81,7.0,1.49
1961-05-01,,29.84,7.1,1.98
1961-06-01,,29.84,6.9,1.73
1961-07-01,567.664,29.92,7.0,1.17
1961-08-01,,29.94,6.6,2.0
1961-09-01,,29.98,6.7,1.88
1961-10-01,580.612,29.98,6.5,2.26
1961-11-01,,29.98,6.1,2.61
1961-12-01,,30.01,6.0,2.33
1962-01-01,594.013,30.04,5.8,2.15
1962-02-01,,30.11,5.5,2.37
1962-03-01,,30.17,5.6,2.85
1962-04-01,600.366,30.21,5.6,2.78
1962-05-01,,30.24,5.5,2.36
1962-06-01,,30.21,5.5,2.68
1962-07-01,609.027,30.22,5.4,2.71
1962-08-01,,30.28,5.7,2.93
1962-09-01,,30.42,5.6,2.9
1962-10-01,612.28,30.38,5.4,2.9
1962-11-01,,30.38,5.7,2.94
1962-12-01,,30.38,5.5,2.93
1963-01-01,621.672,30.44,5.7,2.92
1963-02-01,,30.48,5.9,3.0
1963-03-01,,30.51,5.7,2.98
1963-04-01,629.752,30.48,5.7,2.9
1963-05-01,,30.51,5.9,3.0
1963-06-01,,30.61,5.6,2.99
1963-07-01,644.444,30.69,5.6,3.02
1963-08-01,,30.75,5.4,3.49
1963-09-01,,30.72,5.5,3.48
1963-10-01,653.938,30.75,5.5,3.5
1963-11-01,,30.78,5.7,3.48
1963-12-01,,30.88,5.5,3.38
1964-01-01,669.822,30.94,5.6,3.48
1964-02-01,,30.91,5.4,3.48
1964-03-01,,30.94,5.4,3.43
1964-04-01,678.674,30.95,5.3,3.47
1964-05-01,,30.98,5.1,3.5
1964-06-01,,31.01,5.2,3.5
1964-07-01,692.031,31.02,4.9,3.42
1964-08-01,,31.05,5.0,3.5
1964-09-01,,31.08,5.1,3.45
1964-10-01,697.319,31.12,5.1,3.36
