date,DIA,IVV,QQQ,SPY,VTI
2021-11-09,341.5199890136719,447.0273132324219,386.9385681152344,445.7295837402344,230.52389526367188
2021-11-10,339.4423828125,443.4930114746094,381.2517700195313,442.1437072753906,228.2572784423828
2021-11-11,337.92877197265625,443.674072265625,382.3088989257813,442.2867736816406,228.53353881835935
2021-11-12,339.6397705078125,446.941650390625,386.3317260742188,445.6246337890625,230.22866821289065
2021-11-15,339.60223388671875,447.0558776855469,386.2436218261719,445.7772521972656,230.22866821289065
2021-11-16,340.25079345703125,448.83734130859375,388.9940490722656,447.5415344238281,231.21908569335935
2021-11-17,338.2955017089844,447.7799682617188,389.19964599609375,446.454345703125,230.2667694091797
2021-11-18,337.825439453125,449.2565002441406,393.2323303222656,447.970703125,230.62864685058597
2021-11-19,335.24542236328125,448.5230102539063,395.4247741699219,447.1696166992188,229.97154235839844
2021-11-22,335.51861572265625,447.17974853515625,390.8341979980469,445.9107666015625,228.86680603027344
2021-11-23,337.23297119140625,447.7989501953125,389.05279541015625,446.50201416015625,228.9429931640625
2021-11-24,337.24237060546875,448.961181640625,390.30572509765625,447.6941833496094,229.71441650390625
2021-11-26,328.75543212890625,438.8059692382813,382.9059143066406,437.7091369628906,224.7432098388672
2021-11-29,330.7995300292969,444.4075927734375,391.21588134765625,443.0783386230469,226.8573760986328
2021-11-30,324.87469482421875,435.9576721191406,385.4703674316406,434.45703125,222.32423400878903
2021-12-01,320.6924133300781,430.87054443359375,378.9124145507813,429.6314086914063,219.19102478027344
2021-12-02,326.4853210449219,437.5104370117188,381.6432495117188,436.21185302734375,222.7527618408203
2021-12-03,326.1368103027344,433.5855102539063,375.0070190429688,432.4162292480469,220.1719512939453
2021-12-06,332.3348693847656,438.8059692382813,378.0119323730469,437.5375061035156,223.0003967285156
2021-12-07,336.9692077636719,447.92279052734375,389.3952941894531,446.5878601074219,227.77166748046875
2021-12-08,337.2046203613281,449.1040954589844,391.13763427734375,447.7703857421875,228.7525329589844
2021-12-09,337.3177490234375,446.0746765136719,385.3823547363281,444.7472534179688,226.57171630859372
2021-12-10,339.3146667480469,450.35205078125,389.5715942382813,448.9339294433594,228.114501953125
2021-12-13,336.3097839355469,446.3649291992188,383.9434814453125,444.95703125,226.0383758544922
2021-12-14,335.4903869628906,443.2112731933594,379.9695739746094,441.8957214355469,224.34323120117188
2021-12-15,338.91900634765625,450.1781005859375,388.63189697265625,448.8004150390625,227.80018615722656
2021-12-16,338.5704345703125,446.0496520996094,378.6383972167969,444.8426818847656,225.2479553222656
2021-12-17,333.7125244140625,441.6248168945313,376.7492980957031,440.108154296875,224.2193756103516
2021-12-20,329.5979919433594,436.6648864746094,373.0946960449219,435.4283752441406,221.067138671875
2021-12-21,334.9202575683594,444.444091796875,381.4447326660156,443.1611328125,225.4003143310547
2021-12-22,337.26080322265625,448.9261779785156,386.0901489257813,447.5921325683594,227.62876892089844
2021-12-23,339.1197204589844,451.678466796875,389.0008850097656,450.3771667480469,229.20013427734372
2021-12-27,342.479248046875,458.1484069824219,395.4299926757813,456.7509460449219,232.20980834960935
2021-12-28,343.4889221191406,457.7947998046875,393.5972900390625,456.3777160644531,231.73196411132807
